%      &Kdc         1/&p2   
%---------------------------
    19.5504       7.45739  
    8.99298       6.69384  
     5.2141       5.25567  
    3.21071       1.49767  
    5.83817        3.7261  
    3.92029       1.42366  
    6.23204       1.18988  
    1.17183       1.00013  
    3.04015       1.40589  
    2.96765      0.955088  
    5.52527       1.10423  
    2.28705       1.72654  
     2.0271       1.11498  
    13.0746       4.09783  
    30.2217       5.39753  
     36.256       3.04919  
    6.87289        1.7258  
    14.3536       1.04465  
    9.03436       1.51581  
    8.54012       4.09848  
    37.2277       7.53664  
    42.8643       7.77874  
    70.9066       10.2506  
