%      &Kdc      1/&p1  
%-----------------------
    19.5504    13.7294 
    8.99298    27.2187 
     5.2141     17.722 
    3.21071    33.8382 
    5.83817    37.1928 
    3.92029    37.2762 
    6.23204    47.2555 
    1.17183    74.8418 
    3.04015    44.3347 
    2.96765    44.9625 
    5.52527    41.5404 
    2.28705    35.2244 
     2.0271    43.4258 
    13.0746    18.3271 
    30.2217    19.2355 
     36.256    17.6098 
    6.87289    25.3299 
    14.3536    20.8679 
    9.03436    20.6132 
    8.54012    21.0846 
    37.2277    22.8916 
    42.8643    22.9597 
    70.9066     22.741 
